737756.0 2019-11-27 accretion
737757.0 2019-11-28 equilibrium
737758.0 2019-11-29 erosion
737759.0 2019-11-30 erosion
737760.0 2019-12-01 equilibrium
737761.0 2019-12-02 equilibrium
737762.0 2019-12-03 equilibrium
737763.0 2019-12-04 accretion
737764.0 2019-12-05 accretion
737765.0 2019-12-06 accretion
737766.0 2019-12-07 equilibrium
737767.0 2019-12-08 erosion
737768.0 2019-12-09 erosion
737769.0 2019-12-10 equilibrium
737770.0 2019-12-11 erosion
737771.0 2019-12-12 erosion
737772.0 2019-12-13 erosion
737773.0 2019-12-14 erosion
737774.0 2019-12-15 accretion
737775.0 2019-12-16 accretion
737776.0 2019-12-17 accretion
737777.0 2019-12-18 erosion
737778.0 2019-12-19 erosion
737779.0 2019-12-20 accretion
737780.0 2019-12-21 erosion
737781.0 2019-12-22 accretion
737782.0 2019-12-23 accretion
737783.0 2019-12-24 accretion
737784.0 2019-12-25 erosion
737785.0 2019-12-26 equilibrium
737786.0 2019-12-27 accretion
737787.0 2019-12-28 accretion
737788.0 2019-12-29 accretion
737789.0 2019-12-30 accretion
737790.0 2019-12-31 accretion
